locus_tag	ftype	length_bp	gene	EC_number	COG	product
PROD_01338	CDS	420				hypothetical protein
PROD_01339	CDS	939	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
PROD_01340	CDS	978	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
PROD_01341	CDS	2769	polA	2.7.7.7	COG0258	DNA polymerase I
PROD_01342	CDS	1071				hypothetical protein
PROD_01343	CDS	1491	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PROD_01344	CDS	237	acpP		COG0236	Acyl carrier protein
PROD_01345	CDS	1263	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PROD_01346	CDS	1056	rnc	3.1.26.3		Ribonuclease 3
PROD_01347	CDS	252				hypothetical protein
PROD_01348	CDS	1593				hypothetical protein
PROD_01349	CDS	2019				hypothetical protein
PROD_01350	CDS	822				hypothetical protein
PROD_01351	CDS	2079				hypothetical protein
PROD_01352	CDS	1107	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
PROD_01353	CDS	969	ykoT	2.4.-.-		putative glycosyltransferase YkoT
PROD_01354	CDS	474	lrp		COG1522	Leucine-responsive regulatory protein
PROD_01355	CDS	1299		4.4.1.11	COG0626	L-methionine gamma-lyase
PROD_01356	CDS	879	pfkB_1	2.7.1.11	COG0524	ATP-dependent 6-phosphofructokinase
PROD_01357	CDS	1191				hypothetical protein
PROD_01358	CDS	1878				hypothetical protein
PROD_01359	CDS	2769	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
PROD_01360	CDS	1119				hypothetical protein
PROD_01361	CDS	720				hypothetical protein
PROD_01362	CDS	753				hypothetical protein
PROD_01363	CDS	2004	deaD_3	3.6.4.13		ATP-dependent RNA helicase DeaD
PROD_01364	CDS	1317				hypothetical protein
PROD_01365	CDS	1437	pelL	4.2.2.2		Pectate lyase L
PROD_01366	CDS	1722				hypothetical protein
PROD_01367	CDS	1011				hypothetical protein
PROD_01368	CDS	2013				hypothetical protein
PROD_01369	CDS	111				hypothetical protein
PROD_01370	CDS	3174	susC_3			TonB-dependent receptor SusC
PROD_01371	CDS	1656				hypothetical protein
PROD_01372	CDS	2007				hypothetical protein
PROD_01373	CDS	2676				hypothetical protein
PROD_01374	CDS	1521				hypothetical protein
PROD_01375	CDS	2949		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
PROD_01376	CDS	2193		3.2.1.21	COG1472	Beta-glucosidase BoGH3A
PROD_01377	CDS	1155	mshA_6	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PROD_01378	CDS	2079	mdoB_1	2.7.8.20		Phosphoglycerol transferase I
PROD_01379	CDS	1845	mdoB_2	2.7.8.20		Phosphoglycerol transferase I
PROD_01380	CDS	735				hypothetical protein
PROD_01381	CDS	855	xerC_5			Tyrosine recombinase XerC
PROD_01382	CDS	363				hypothetical protein
PROD_01383	CDS	309				hypothetical protein
PROD_01384	CDS	327				hypothetical protein
PROD_01385	CDS	357				hypothetical protein
PROD_01386	CDS	315				hypothetical protein
PROD_01387	CDS	1590				hypothetical protein
PROD_01388	CDS	1224	topB_2	5.99.1.2	COG0550	DNA topoisomerase 3
PROD_01389	CDS	219				hypothetical protein
PROD_01390	CDS	435				hypothetical protein
PROD_01391	CDS	387				hypothetical protein
PROD_01392	CDS	1986				hypothetical protein
PROD_01393	CDS	852				hypothetical protein
PROD_01394	CDS	273				hypothetical protein
PROD_01395	CDS	636				hypothetical protein
PROD_01396	CDS	483				hypothetical protein
PROD_01397	CDS	171				hypothetical protein
PROD_01398	CDS	453				hypothetical protein
PROD_01399	CDS	168				hypothetical protein
PROD_01400	CDS	666				hypothetical protein
PROD_01401	CDS	246				hypothetical protein
PROD_01402	CDS	483				hypothetical protein
PROD_01403	CDS	459				hypothetical protein
PROD_01404	CDS	237				hypothetical protein
PROD_01405	CDS	1308				hypothetical protein
PROD_01406	CDS	267				hypothetical protein
PROD_01407	CDS	1251				hypothetical protein
PROD_01408	CDS	426				hypothetical protein
PROD_01409	CDS	261				hypothetical protein
PROD_01410	CDS	1554				hypothetical protein
PROD_01411	CDS	477				hypothetical protein
PROD_01412	tRNA	73				tRNA-Met(cat)
PROD_01413	CDS	1023				hypothetical protein
PROD_01414	CDS	1086				hypothetical protein
PROD_01415	CDS	468				hypothetical protein
PROD_01416	CDS	630				hypothetical protein
PROD_01417	CDS	1179				hypothetical protein
PROD_01418	CDS	435				hypothetical protein
PROD_01419	CDS	351				hypothetical protein
PROD_01420	CDS	282				hypothetical protein
PROD_01421	CDS	2166				hypothetical protein
PROD_01422	CDS	612				hypothetical protein
PROD_01423	CDS	954				hypothetical protein
PROD_01424	CDS	609				hypothetical protein
PROD_01425	CDS	282				hypothetical protein
PROD_01426	CDS	522				hypothetical protein
PROD_01427	CDS	660				hypothetical protein
PROD_01428	CDS	1554				hypothetical protein
PROD_01429	CDS	1503				hypothetical protein
PROD_01430	CDS	1401				hypothetical protein
PROD_01431	CDS	369				hypothetical protein
PROD_01432	CDS	876				hypothetical protein
PROD_01433	CDS	507				hypothetical protein
PROD_01434	CDS	1332				hypothetical protein
PROD_01435	CDS	834				hypothetical protein
PROD_01436	CDS	243				hypothetical protein
PROD_01437	CDS	108				hypothetical protein
PROD_01438	CDS	1764	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
PROD_01439	CDS	1266				hypothetical protein
PROD_01440	CDS	474				hypothetical protein
PROD_01441	CDS	2295				hypothetical protein
PROD_01442	CDS	162				hypothetical protein
PROD_01443	CDS	216				hypothetical protein
PROD_01444	CDS	222				hypothetical protein
PROD_01445	CDS	414				hypothetical protein
PROD_01446	CDS	1284				hypothetical protein
PROD_01447	CDS	258				hypothetical protein
PROD_01448	CDS	231				hypothetical protein
PROD_01449	CDS	249				hypothetical protein
PROD_01450	CDS	309				hypothetical protein
PROD_01451	CDS	717				hypothetical protein
PROD_01452	CDS	1032	xerD_2			Tyrosine recombinase XerD
PROD_01453	CDS	1314	xerC_6			Tyrosine recombinase XerC
PROD_01454	CDS	1221	xerC_7			Tyrosine recombinase XerC
PROD_01455	CDS	984				hypothetical protein
PROD_01456	CDS	222				hypothetical protein
PROD_01457	CDS	309				hypothetical protein
PROD_01458	CDS	246				hypothetical protein
PROD_01459	CDS	234				hypothetical protein
PROD_01460	CDS	258				hypothetical protein
PROD_01461	CDS	1284				hypothetical protein
PROD_01462	CDS	411				hypothetical protein
PROD_01463	CDS	597				hypothetical protein
PROD_01464	CDS	222				hypothetical protein
PROD_01465	CDS	216				hypothetical protein
PROD_01466	CDS	3144				hypothetical protein
PROD_01467	CDS	519				hypothetical protein
PROD_01468	CDS	933	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
PROD_01469	CDS	927				hypothetical protein
PROD_01470	CDS	414				hypothetical protein
PROD_01471	CDS	624				hypothetical protein
PROD_01472	CDS	1539				hypothetical protein
PROD_01473	CDS	1311	eno	4.2.1.11	COG0148	Enolase
PROD_01474	CDS	921				hypothetical protein
PROD_01475	CDS	99				hypothetical protein
PROD_01476	CDS	816				hypothetical protein
PROD_01477	CDS	1047				hypothetical protein
PROD_01478	CDS	1203				hypothetical protein
PROD_01479	CDS	3096	czcA			Cobalt-zinc-cadmium resistance protein CzcA
PROD_01480	CDS	1218	mdtA_2			Multidrug resistance protein MdtA
PROD_01481	CDS	1458	trkH		COG0168	Trk system potassium uptake protein TrkH
PROD_01482	CDS	1359	trkA		COG0569	Trk system potassium uptake protein TrkA
PROD_01483	CDS	2004	dxs_2	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
PROD_01484	CDS	918				hypothetical protein
PROD_01485	CDS	903	rhaS_2			HTH-type transcriptional activator RhaS
PROD_01486	CDS	252				hypothetical protein
PROD_01487	CDS	951				hypothetical protein
PROD_01488	CDS	1566	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
PROD_01489	CDS	2232	ptpA	3.4.14.12	COG1506	Prolyl tripeptidyl peptidase
PROD_01490	CDS	1269	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
PROD_01491	CDS	939				hypothetical protein
PROD_01492	CDS	453	yqaA		COG1238	Inner membrane protein YqaA
PROD_01493	CDS	2487				hypothetical protein
PROD_01494	CDS	2688				hypothetical protein
PROD_01495	CDS	1356	xynD_1	3.2.1.55		Arabinoxylan arabinofuranohydrolase
PROD_01496	CDS	2313				hypothetical protein
PROD_01497	CDS	2475				hypothetical protein
PROD_01498	CDS	2061				hypothetical protein
PROD_01499	CDS	1944		3.2.1.22		Retaining alpha-galactosidase
PROD_01500	CDS	2580				hypothetical protein
PROD_01501	CDS	2577	lacZ_3	3.2.1.23		Beta-galactosidase
PROD_01502	CDS	1377	xynD_2	3.2.1.55		Arabinoxylan arabinofuranohydrolase
PROD_01503	CDS	2385				hypothetical protein
PROD_01504	CDS	2712				hypothetical protein
PROD_01505	CDS	1236	xerC_8			Tyrosine recombinase XerC
PROD_01506	CDS	363				hypothetical protein
PROD_01507	CDS	306				hypothetical protein
PROD_01508	CDS	258				hypothetical protein
PROD_01509	CDS	360				hypothetical protein
PROD_01510	CDS	315				hypothetical protein
PROD_01511	CDS	1575				hypothetical protein
PROD_01512	CDS	2091	topB_3	5.99.1.2	COG0550	DNA topoisomerase 3
PROD_01513	CDS	453				hypothetical protein
PROD_01514	CDS	1437				hypothetical protein
PROD_01515	CDS	681				hypothetical protein
PROD_01516	CDS	2373	btuB_3			Vitamin B12 transporter BtuB
PROD_01517	CDS	1035				hypothetical protein
PROD_01518	CDS	1824	ydcP	3.4.-.-	COG0826	putative protease YdcP
PROD_01519	CDS	918	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
PROD_01520	CDS	474				hypothetical protein
PROD_01521	CDS	3312	ruvB_3	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
PROD_01522	CDS	2895				hypothetical protein
PROD_01523	CDS	450				hypothetical protein
PROD_01524	CDS	96				hypothetical protein
PROD_01525	CDS	2040	pepO	3.4.24.-	COG3590	Neutral endopeptidase
PROD_01526	CDS	1974	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
PROD_01527	CDS	1971	rho	3.6.4.-		Transcription termination factor Rho
PROD_01528	CDS	1590				hypothetical protein
PROD_01529	CDS	405				hypothetical protein
PROD_01530	CDS	1254				hypothetical protein
PROD_01531	CDS	708	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
PROD_01532	CDS	699				hypothetical protein
PROD_01533	CDS	1482	proS	6.1.1.15	COG0442	Proline--tRNA ligase
PROD_01534	CDS	2520	gyrA_2	5.99.1.3	COG0188	DNA gyrase subunit A
PROD_01535	CDS	1248				hypothetical protein
PROD_01536	CDS	1209				hypothetical protein
PROD_01537	CDS	1749	pgcA	5.4.2.2		Phosphoglucomutase
PROD_01538	CDS	2412		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PROD_01539	CDS	2532	clpC		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpC
PROD_01540	CDS	1326	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
PROD_01541	CDS	1182	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
PROD_01542	CDS	633	rnd	3.1.13.5		Ribonuclease D
PROD_01543	CDS	2484				hypothetical protein
PROD_01544	CDS	600				hypothetical protein
PROD_01545	CDS	309				hypothetical protein
PROD_01546	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
PROD_01547	CDS	156				hypothetical protein
PROD_01548	CDS	189	rpmG1		COG0267	50S ribosomal protein L33 1
PROD_01549	CDS	264	rpmB		COG0227	50S ribosomal protein L28
PROD_01550	CDS	549	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
PROD_01551	CDS	1035	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
PROD_01552	CDS	861	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
PROD_01553	CDS	138				hypothetical protein
PROD_01554	CDS	150				hypothetical protein
PROD_01555	CDS	519				hypothetical protein
PROD_01556	CDS	699				hypothetical protein
PROD_01557	CDS	285				hypothetical protein
PROD_01558	CDS	2055	htpG			Chaperone protein HtpG
PROD_01559	CDS	2145				hypothetical protein
PROD_01560	CDS	1260				hypothetical protein
PROD_01561	CDS	666				hypothetical protein
PROD_01562	CDS	1257				hypothetical protein
PROD_01563	CDS	762	coaX	2.7.1.33		Type III pantothenate kinase
PROD_01564	CDS	1284				hypothetical protein
PROD_01565	CDS	1623	phoV	3.1.3.1		Alkaline phosphatase PhoV
PROD_01566	CDS	3351	secA			Protein translocase subunit SecA
PROD_01567	CDS	2559	der_1			GTPase Der
PROD_01568	CDS	408				hypothetical protein
PROD_01569	CDS	144				hypothetical protein
PROD_01570	CDS	1125	dnaN		COG0592	Beta sliding clamp
PROD_01571	CDS	858	polC	2.7.7.7		DNA polymerase III PolC-type
PROD_01572	CDS	1200	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
PROD_01573	CDS	957				hypothetical protein
PROD_01574	CDS	1659	recN		COG0497	DNA repair protein RecN
PROD_01575	CDS	1683				hypothetical protein
PROD_01576	CDS	1572	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
PROD_01577	CDS	828	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
PROD_01578	CDS	1155	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
PROD_01579	CDS	1053				hypothetical protein
PROD_01580	CDS	579	mntP		COG1971	putative manganese efflux pump MntP
PROD_01581	CDS	1038	lnpD	5.1.3.2		UDP-glucose 4-epimerase
PROD_01582	CDS	135				hypothetical protein
PROD_01583	CDS	603	rsxA		COG4657	Electron transport complex subunit RsxA
PROD_01584	CDS	585	rnfE		COG4660	Electron transport complex subunit RnfE
PROD_01585	CDS	678	rsxG			Electron transport complex subunit RsxG
PROD_01586	CDS	999	rsxD		COG4658	Electron transport complex subunit RsxD
PROD_01587	CDS	1353	rnfC		COG4656	Electron transport complex subunit RnfC
PROD_01588	CDS	900	rsxB			Electron transport complex subunit RsxB
PROD_01589	CDS	414				hypothetical protein
PROD_01590	CDS	441				hypothetical protein
PROD_01591	CDS	1488				hypothetical protein
PROD_01592	CDS	621		3.1.3.-	COG1011	D-ribitol-5-phosphate phosphatase
PROD_01593	CDS	2766	metH_2	2.1.1.13	COG0646	Methionine synthase
PROD_01594	CDS	480	smpB		COG0691	SsrA-binding protein
PROD_01595	CDS	504				hypothetical protein
PROD_01596	CDS	702				hypothetical protein
PROD_01597	CDS	1014				hypothetical protein
PROD_01598	CDS	1257				hypothetical protein
PROD_01599	tRNA	75				tRNA-Pro(tgg)
PROD_01600	CDS	1257	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
PROD_01601	CDS	1044	ytlR_2	2.7.1.-	COG1597	Putative lipid kinase YtlR
PROD_01602	CDS	507	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
PROD_01603	CDS	351				hypothetical protein
PROD_01604	tRNA	73				tRNA-Cys(gca)
PROD_01605	CDS	1215				hypothetical protein
PROD_01606	CDS	381				hypothetical protein
PROD_01607	CDS	891				hypothetical protein
PROD_01608	CDS	1077				hypothetical protein
PROD_01609	CDS	984	iolG	1.1.1.18		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PROD_01610	CDS	102				hypothetical protein
PROD_01611	CDS	1005				hypothetical protein
PROD_01612	CDS	1074	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
PROD_01613	CDS	849	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
PROD_01614	CDS	723	ogt_2	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
PROD_01615	CDS	687				hypothetical protein
PROD_01616	CDS	948				hypothetical protein
PROD_01617	CDS	2079	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
PROD_01618	CDS	306				hypothetical protein
PROD_01619	CDS	1269				hypothetical protein
PROD_01620	CDS	1209	mltF			Membrane-bound lytic murein transglycosylase F
PROD_01621	CDS	852	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
PROD_01622	CDS	1287	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
PROD_01623	CDS	1041	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
PROD_01624	CDS	1422				hypothetical protein
PROD_01625	CDS	2721	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
PROD_01626	CDS	474	asnC_1		COG1522	Regulatory protein AsnC
PROD_01627	CDS	1752				hypothetical protein
PROD_01628	CDS	996				hypothetical protein
PROD_01629	CDS	2292	priA	3.6.4.-	COG1198	Primosomal protein N'
PROD_01630	CDS	1575				hypothetical protein
PROD_01631	CDS	705				hypothetical protein
PROD_01632	CDS	957	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
PROD_01633	CDS	786	yohK		COG1346	Inner membrane protein YohK
PROD_01634	CDS	345				hypothetical protein
PROD_01635	CDS	183				hypothetical protein
PROD_01636	CDS	1371	norM		COG0534	Multidrug resistance protein NorM
PROD_01637	CDS	642	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
PROD_01638	CDS	948				hypothetical protein
PROD_01639	CDS	1419				hypothetical protein
PROD_01640	CDS	840	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
PROD_01641	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
PROD_01642	CDS	192				hypothetical protein
PROD_01643	CDS	369				hypothetical protein
PROD_01644	CDS	2397				hypothetical protein
PROD_01645	CDS	999	xerD_3			Tyrosine recombinase XerD
PROD_01646	CDS	423	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
PROD_01647	CDS	720				hypothetical protein
PROD_01648	CDS	336	rbfA		COG0858	Ribosome-binding factor A
PROD_01649	CDS	1227	lolE_2		COG4591	Lipoprotein-releasing system transmembrane protein LolE
PROD_01650	CDS	1464				hypothetical protein
PROD_01651	CDS	837	murI	5.1.1.3		Glutamate racemase
PROD_01652	CDS	567				hypothetical protein
PROD_01653	CDS	498				hypothetical protein
PROD_01654	CDS	537				hypothetical protein
PROD_01655	CDS	2607	bamA_3			Outer membrane protein assembly factor BamA
PROD_01656	CDS	750	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
PROD_01657	CDS	693				hypothetical protein
PROD_01658	CDS	1398				hypothetical protein
PROD_01659	CDS	123				hypothetical protein
PROD_01660	CDS	1380				hypothetical protein
PROD_01661	CDS	360				hypothetical protein
PROD_01662	CDS	828				hypothetical protein
PROD_01663	CDS	189				hypothetical protein
PROD_01664	CDS	1614	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
PROD_01665	CDS	2820				hypothetical protein
PROD_01666	CDS	222				hypothetical protein
PROD_01667	CDS	693				hypothetical protein
PROD_01668	CDS	768	recO			DNA repair protein RecO
PROD_01669	tRNA	73				tRNA-Glu(ttc)
PROD_01670	CDS	255	rpsT		COG0268	30S ribosomal protein S20
PROD_01671	CDS	99				hypothetical protein
PROD_01672	CDS	1974	gyrB_2	5.99.1.3	COG0187	DNA gyrase subunit B
PROD_01673	CDS	771				hypothetical protein
PROD_01674	CDS	801	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PROD_01675	CDS	876				hypothetical protein
PROD_01676	CDS	1695				hypothetical protein
PROD_01677	CDS	114				hypothetical protein
PROD_01678	CDS	1662	udk_2	2.7.1.48		Uridine kinase
PROD_01679	CDS	1368				hypothetical protein
PROD_01680	CDS	483				hypothetical protein
PROD_01681	CDS	1344	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PROD_01682	CDS	117				hypothetical protein
PROD_01683	CDS	966	resA_3			Thiol-disulfide oxidoreductase ResA
PROD_01684	CDS	465		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
PROD_01685	CDS	879	folP	2.5.1.15	COG0294	Dihydropteroate synthase
PROD_01686	CDS	777	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
PROD_01687	CDS	1011	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
PROD_01688	CDS	1200	ackA	2.7.2.1	COG0282	Acetate kinase
PROD_01689	CDS	765	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
PROD_01690	CDS	321	sufT			Fe-S protein maturation auxiliary factor SufT
PROD_01691	CDS	681				hypothetical protein
PROD_01692	CDS	375				hypothetical protein
PROD_01693	CDS	1038				hypothetical protein
PROD_01694	CDS	567	efp		COG0231	Elongation factor P
PROD_01695	CDS	156	rpmH		COG0230	50S ribosomal protein L34
PROD_01696	CDS	168				hypothetical protein
PROD_01697	CDS	342				hypothetical protein
PROD_01698	CDS	1281				hypothetical protein
PROD_01699	CDS	765				hypothetical protein
PROD_01700	CDS	1569				hypothetical protein
PROD_01701	CDS	867				hypothetical protein
PROD_01702	CDS	999				hypothetical protein
PROD_01703	CDS	1482	dnaK_3		COG0443	Chaperone protein DnaK
PROD_01704	CDS	654				hypothetical protein
PROD_01705	CDS	2280				hypothetical protein
PROD_01706	CDS	1242	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
PROD_01707	CDS	1050	argF'	2.1.3.9	COG0078	N-acetylornithine carbamoyltransferase
PROD_01708	CDS	714				hypothetical protein
PROD_01709	CDS	1152				hypothetical protein
PROD_01710	CDS	1017	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
PROD_01711	CDS	1116	rluD_2	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
PROD_01712	CDS	669				hypothetical protein
PROD_01713	CDS	1071	proB	2.7.2.11	COG0263	Glutamate 5-kinase
PROD_01714	CDS	1893	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PROD_01715	CDS	555				hypothetical protein
PROD_01716	CDS	792	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
PROD_01717	CDS	111				hypothetical protein
PROD_01718	CDS	1134	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde transaminase
PROD_01719	CDS	1068	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
PROD_01720	CDS	393				hypothetical protein
PROD_01721	CDS	1203	argG	6.3.4.5		Argininosuccinate synthase
PROD_01722	CDS	603				hypothetical protein
PROD_01723	CDS	477	argR		COG1438	Arginine repressor
PROD_01724	CDS	4962				hypothetical protein
PROD_01725	CDS	210				hypothetical protein
PROD_01726	CDS	102				hypothetical protein
PROD_01727	CDS	165				hypothetical protein
PROD_01728	CDS	345				hypothetical protein
PROD_01729	CDS	1608	appC	1.10.3.10	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
PROD_01730	CDS	1143	cydB	1.10.3.14	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
PROD_01731	CDS	1470	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
PROD_01732	CDS	852				hypothetical protein
PROD_01733	CDS	540	sigW_3		COG1595	ECF RNA polymerase sigma factor SigW
PROD_01734	CDS	363				hypothetical protein
PROD_01735	CDS	1221				ISL3 family transposase ISRta1
PROD_01736	CDS	1026				hypothetical protein
PROD_01737	CDS	366				hypothetical protein
PROD_01738	CDS	258				hypothetical protein
PROD_01739	CDS	1023				hypothetical protein
PROD_01740	CDS	219				hypothetical protein
PROD_01741	CDS	1509				hypothetical protein
PROD_01742	CDS	768				hypothetical protein
PROD_01743	CDS	753				hypothetical protein
PROD_01744	CDS	549				hypothetical protein
PROD_01745	CDS	1212		3.2.1.156	COG3405	Reducing end xylose-releasing exo-oligoxylanase
PROD_01746	tRNA	83				tRNA-Leu(caa)
PROD_01747	CDS	954				hypothetical protein
PROD_01748	CDS	1092	algA_2		COG0662	Alginate biosynthesis protein AlgA
PROD_01749	CDS	408				hypothetical protein
PROD_01750	CDS	468	greA		COG0782	Transcription elongation factor GreA
PROD_01751	CDS	870	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
PROD_01752	CDS	1026	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
PROD_01753	CDS	1731	caiA	1.3.99.-		Crotonobetainyl-CoA dehydrogenase
PROD_01754	CDS	273				hypothetical protein
PROD_01755	CDS	2067				hypothetical protein
PROD_01756	CDS	1545				hypothetical protein
PROD_01757	CDS	882				hypothetical protein
PROD_01758	CDS	2049	topB_4	5.99.1.2	COG0550	DNA topoisomerase 3
PROD_01759	CDS	636				hypothetical protein
PROD_01760	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
PROD_01761	CDS	489	folA	1.5.1.3	COG0262	Dihydrofolate reductase
PROD_01762	CDS	888	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PROD_01763	CDS	1104		3.6.-.-	COG1703	putative GTPase
PROD_01764	CDS	1062				hypothetical protein
PROD_01765	CDS	5658				hypothetical protein
PROD_01766	CDS	252				hypothetical protein
PROD_01767	CDS	795				hypothetical protein
PROD_01768	CDS	1224			COG1373	putative protein
PROD_01769	CDS	1311	dinF		COG0534	DNA damage-inducible protein F
PROD_01770	CDS	1551				hypothetical protein
PROD_01771	CDS	2214				hypothetical protein
PROD_01772	CDS	1866	resA_4			Thiol-disulfide oxidoreductase ResA
PROD_01773	CDS	141				hypothetical protein
PROD_01774	CDS	774	thiG	2.8.1.10	COG2022	Thiazole synthase
PROD_01775	CDS	618				hypothetical protein
PROD_01776	CDS	168				hypothetical protein
PROD_01777	CDS	1458	pepD_2	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
PROD_01778	CDS	354				hypothetical protein
PROD_01779	tRNA	88				tRNA-Ser(gct)
PROD_01780	tRNA	73				tRNA-Glu(ctc)
PROD_01781	CDS	774				hypothetical protein
PROD_01782	CDS	2517	mrcA_2		COG5009	Penicillin-binding protein 1A
PROD_01783	CDS	909	miaA_2	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PROD_01784	CDS	771	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
PROD_01785	CDS	1383				hypothetical protein
PROD_01786	CDS	1050	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
PROD_01787	CDS	822	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
PROD_01788	CDS	1113	prfA		COG0216	Peptide chain release factor 1
PROD_01789	CDS	153				hypothetical protein
PROD_01790	CDS	192				hypothetical protein
PROD_01791	CDS	1434				hypothetical protein
PROD_01792	CDS	978	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 1
PROD_01793	CDS	1530	atpD	3.6.3.15		ATP synthase subunit beta, sodium ion specific
PROD_01794	CDS	243	atpC			ATP synthase epsilon chain
PROD_01795	CDS	423				hypothetical protein
PROD_01796	CDS	1056	atpB			ATP synthase subunit a
PROD_01797	CDS	243	atpH_1			ATP synthase subunit c
PROD_01798	CDS	519	atpF		COG0711	ATP synthase subunit b
PROD_01799	CDS	534	atpH_2		COG0712	ATP synthase subunit delta
PROD_01800	CDS	1587	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
PROD_01801	CDS	969	atpG		COG0224	ATP synthase gamma chain
PROD_01802	CDS	963	ftsY		COG0552	Signal recognition particle receptor FtsY
